DrawDate,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Ball 6,Bonus Ball,Ball Set,Machine,DrawNumber,,,,,,,
,9,11,28,31,45,52,4,,,,,,,,,,
09-Apr-22,10,11,18,29,44,59,17,9,Guinevere,2744,5,9,18,29,31,56,[ 21 ]
06-Apr-22,3,17,23,24,30,49,59,9,Guinevere,2743,4,9,33,41,50,59,
02-Apr-22,22,24,27,30,52,57,20,11,Guinevere,2742,,,,,,,
30-Mar-22,11,12,14,17,44,58,29,11,Guinevere,2741,,,,,,,
26-Mar-22,13,18,27,35,46,53,40,10,Lancelot,2740,,,,,,,
23-Mar-22,3,14,15,46,52,53,50,10,Lancelot,2739,,,,,,,
19-Mar-22,20,24,33,34,50,51,7,9,Lancelot,2738,14,30,50,55,56,57,
16-Mar-22,14,20,23,28,33,54,12,9,Lancelot,2737,2,9,28,31,49,54,
12-Mar-22,7,13,21,23,39,44,16,11,Guinevere,2736,6,11,27,30,33,55,
09-Mar-22,3,10,26,38,41,47,45,11,Guinevere,2735,,,,,,,
05-Mar-22,10,21,29,33,42,51,48,10,Guinevere,2734,,,,,,,
02-Mar-22,43,48,49,52,55,58,32,10,Guinevere,2733,,,,,,,
26-Feb-22,5,8,33,37,47,52,20,9,Lancelot,2732,,,,,,,
23-Feb-22,4,22,26,27,33,37,20,9,Lancelot,2731,,,,,,,
19-Feb-22,33,34,44,50,56,57,26,7,Lancelot,2730,,,,,,,
16-Feb-22,21,27,31,50,53,59,24,7,Lancelot,2729,,,,,,,
12-Feb-22,9,16,26,28,47,58,49,6,Guinevere,2728,,,,,,,
09-Feb-22,12,16,17,43,53,57,29,6,Guinevere,2727,,,,,,,
05-Feb-22,8,24,36,39,46,56,48,5,Guinevere,2726,,,,,,,
02-Feb-22,6,22,29,48,50,59,3,5,Guinevere,2725,,,,,,,
29-Jan-22,4,12,35,41,47,50,46,8,Merlin,2724,,,,,,,
26-Jan-22,5,26,36,53,57,58,2,8,Merlin,2723,,,,,,,
22-Jan-22,1,20,25,35,46,59,28,7,Merlin,2722,,,,,,,
19-Jan-22,3,13,41,50,56,57,58,7,Merlin,2721,,,,,,,
15-Jan-22,13,14,25,31,37,39,4,6,Arthur,2720,,,,,,,
12-Jan-22,8,21,37,39,56,59,32,6,Arthur,2719,,,,,,,
08-Jan-22,21,28,33,36,43,46,27,5,Arthur,2718,,,,,,,
05-Jan-22,3,5,21,28,56,57,14,5,Arthur,2717,,,,,,,
01-Jan-22,14,29,31,41,43,56,42,8,Merlin,2716,,,,,,,
29-Dec-21,3,17,28,42,52,57,58,8,Merlin,2715,,,,,,,
25-Dec-21,15,24,26,30,42,59,18,7,Merlin,2714,,,,,,,
22-Dec-21,6,13,14,20,45,52,54,7,Merlin,2713,,,,,,,
18-Dec-21,12,23,27,45,51,54,59,6,Arthur,2712,,,,,,,
15-Dec-21,28,17,15,45,30,2,54,6,Arthur,2711,,,,,,,
11-Dec-21,15,31,33,13,6,14,38,5,Arthur,2710,,,,,,,
08-Dec-21,12,52,31,30,34,58,56,1,Arthur,2709,,,,,,,
04-Dec-21,24,46,33,32,8,25,47,3,Merlin,2708,,,,,,,
01-Dec-21,4,37,42,7,50,8,36,3,Merlin,2707,3,25,30,31,46,48,
27-Nov-21,15,48,16,1,24,17,9,2,Merlin,2706,,,,,,,
24-Nov-21,42,11,39,19,17,4,59,2,Merlin,2705,,,,,,,
20-Nov-21,32,59,17,16,51,5,53,1,Arthur,2704,,,,,,,
17-Nov-21,13,55,35,34,24,49,53,1,Arthur,2703,,,,,,,
13-Nov-21,43,14,28,52,13,16,56,11,Arthur,2702,,,,,,,
10-Nov-21,18,37,11,20,49,10,5,11,Arthur,2701,,,,,,,
06-Nov-21,21,7,29,39,34,3,19,10,Merlin,2700,,,,,,,
03-Nov-21,47,48,6,39,31,58,8,10,Merlin,2699,,,,,,,
30-Oct-21,18,51,56,59,7,47,17,9,Merlin,2698,,,,,,,
27-Oct-21,22,8,47,39,20,48,16,9,Merlin,2697,,,,,,,
23-Oct-21,27,21,28,4,13,37,19,11,Arthur,2696,,,,,,,
20-Oct-21,43,37,29,23,27,47,11,11,Arthur,2695,,,,,,,
16-Oct-21,24,21,58,18,37,4,22,10,Arthur,2694,,,,,,,
13-Oct-21,4,12,56,38,8,15,30,10,Arthur,2693,11,12,25,31,45,48,
09-Oct-21,52,30,9,48,51,6,55,9,Merlin,2692,,,,,,,
06-Oct-21,51,16,1,9,30,27,34,9,Merlin,2691,,,,,,,
02-Oct-21,32,35,36,51,37,40,43,11,Merlin,2690,,,,,,,
29-Sep-21,17,52,45,15,27,40,28,11,Merlin,2689,,,,,,,
25-Sep-21,31,13,56,36,15,32,53,10,Arthur,2688,,,,,,,
22-Sep-21,21,40,44,13,52,33,9,10,Arthur,2687,,,,,,,
18-Sep-21,53,32,44,45,52,19,12,9,Arthur,2686,,,,,,,
15-Sep-21,25,20,24,37,34,27,50,9,Arthur,2685,,,,,,,
11-Sep-21,13,52,2,54,42,38,39,8,Merlin,2684,,,,,,,
08-Sep-21,13,56,3,14,4,38,52,8,Merlin,2683,,,,,,,
04-Sep-21,21,14,39,41,36,1,34,7,Merlin,2682,,,,,,,
01-Sep-21,19,28,3,41,33,43,57,7,Merlin,2681,,,,,,,
28-Aug-21,24,50,18,34,49,57,41,6,Arthur,2680,,,,,,,
25-Aug-21,15,30,39,52,59,7,38,6,Arthur,2679,,,,,,,
21-Aug-21,27,35,18,28,17,57,51,5,Arthur,2678,,,,,,,
18-Aug-21,10,4,48,50,27,30,54,5,Arthur,2677,,,,,,,
14-Aug-21,19,1,39,15,2,43,58,8,Lancelot,2676,,,,,,,
11-Aug-21,46,36,39,32,37,13,40,8,Lancelot,2675,,,,,,,
07-Aug-21,10,15,41,51,22,57,58,7,Lancelot,2674,,,,,,,
04-Aug-21,16,27,3,46,34,36,6,7,Lancelot,2673,,,,,,,
31-Jul-21,43,11,13,19,12,58,48,6,Guinevere,2672,,,,,,,
28-Jul-21,34,44,23,26,59,36,43,6,Guinevere,2671,,,,,,,
24-Jul-21,7,6,37,34,28,17,59,5,Guinevere,2670,,,,,,,
21-Jul-21,20,5,37,17,51,45,29,5,Guinevere,2669,,,,,,,
12-Jun-21,9,11,26,27,36,52,50,3,Lancelot,2658,,,,,,,
09-Jun-21,9,15,24,34,43,49,32,3,Lancelot,2657,,,,,,,
05-Jun-21,3,6,33,39,46,57,17,2,Guinevere,2656,,,,,,,
02-Jun-21,1,15,17,33,53,59,41,2,Guinevere,2655,,,,,,,
29-May-21,1,10,16,36,46,55,44,1,Guinevere,2654,,,,,,,
26-May-21,28,33,36,45,49,51,48,1,Guinevere,2653,,,,,,,
22-May-21,9,20,41,43,46,48,7,4,Lancelot,2652,,,,,,,
19-May-21,57,50,58,36,53,18,22,4,Lancelot,2651,,,,,,,
15-May-21,57,32,27,19,39,6,50,3,Lancelot,2650,,,,,,,
12-May-21,17,40,51,23,52,10,20,3,Lancelot,2649,,,,,,,
08-May-21,46,31,12,23,10,37,15,2,Guinevere,2648,,,,,,,
05-May-21,56,27,40,55,8,34,43,2,Guinevere,2647,,,,,,,
01-May-21,7,40,31,34,32,10,14,1,Guinevere,2646,,,,,,,
28-Apr-21,59,4,48,1,57,27,5,1,Guinevere,2645,,,,,,,
24-Apr-21,29,16,38,32,30,24,1,4,Lancelot,2644,,,,,,,
21-Apr-21,39,4,34,32,6,14,46,4,Lancelot,2643,,,,,,,
17-Apr-21,18,7,23,57,8,21,4,3,Lancelot,2642,,,,,,,
14-Apr-21,48,57,12,20,6,52,34,3,Lancelot,2641,,,,,,,
10-Apr-21,50,20,26,48,49,25,30,2,Guinevere,2640,,,,,,,
07-Apr-21,51,40,57,12,38,58,29,2,Guinevere,2639,,,,,,,
03-Apr-21,40,32,45,8,2,28,5,1,Guinevere,2638,,,,,,,
31-Mar-21,6,58,4,49,56,13,12,1,Guinevere,2637,,,,,,,
27-Mar-21,18,22,26,49,5,3,29,11,Lancelot,2636,,,,,,,
24-Mar-21,23,50,40,2,3,27,30,11,Lancelot,2635,,,,,,,
20-Mar-21,12,36,24,34,51,15,21,10,Lancelot,2634,,,,,,,
17-Mar-21,28,26,36,58,16,7,9,10,Lancelot,2633,,,,,,,
13-Mar-21,8,29,6,17,11,44,20,9,Guinevere,2632,,,,,,,
10-Mar-21,26,42,21,5,1,9,17,9,Guinevere,2631,,,,,,,
06-Mar-21,47,29,16,17,52,56,15,11,Guinevere,2630,,,,,,,
03-Mar-21,2,54,40,23,3,8,52,11,Guinevere,2629,,,,,,,
27-Feb-21,4,49,45,33,39,36,20,10,Lancelot,2628,,,,,,,
24-Feb-21,1,34,17,9,18,16,13,10,Lancelot,2627,,,,,,,
20-Feb-21,36,3,18,56,24,16,10,9,Lancelot,2626,,,,,,,
17-Feb-21,39,6,8,26,5,20,1,9,Lancelot,2625,,,,,,,
13-Feb-21,42,50,37,44,16,15,48,11,Guinevere,2624,,,,,,,
10-Feb-21,29,1,33,15,49,42,54,11,Guinevere,2623,,,,,,,
06-Feb-21,27,32,46,28,39,52,6,10,Guinevere,2622,,,,,,,
03-Feb-21,17,9,21,4,46,26,12,10,Guinevere,2621,,,,,,,
30-Jan-21,36,51,4,28,31,55,42,9,Lancelot,2620,,,,,,,
27-Jan-21,34,45,35,30,50,22,51,9,Lancelot,2619,,,,,,,
23-Jan-21,1,52,49,6,45,25,56,8,Lancelot,2618,,,,,,,
20-Jan-21,13,5,7,57,25,3,37,8,Lancelot,2617,,,,,,,
16-Jan-21,48,38,45,3,53,15,27,7,Guinevere,2616,,,,,,,
13-Jan-21,1,42,8,18,16,12,4,7,Guinevere,2615,,,,,,,
09-Jan-21,9,38,21,30,23,35,53,6,Guinevere,2614,,,,,,,
06-Jan-21,54,36,2,8,51,52,10,6,Guinevere,2613,,,,,,,
02-Jan-21,36,9,39,6,8,57,37,5,Lancelot,2612,,,,,,,
30-Dec-20,17,21,11,49,37,24,45,5,Lancelot,2611,,,,,,,
26-Dec-20,43,44,55,52,26,46,6,8,Lancelot,2610,,,,,,,
23-Dec-20,48,51,42,20,54,52,21,8,Lancelot,2609,,,,,,,
19-Dec-20,4,28,21,10,27,14,23,7,Guinevere,2608,,,,,,,
16-Dec-20,43,38,28,36,2,30,33,7,Guinevere,2607,,,,,,,
12-Dec-20,13,49,38,39,53,56,59,6,Guinevere,2606,,,,,,,
09-Dec-20,7,28,14,8,10,33,26,6,Guinevere,2605,,,,,,,
05-Dec-20,52,59,51,47,13,38,18,5,Arthur,2604,,,,,,,
02-Dec-20,38,22,39,26,16,47,48,5,Merlin,2603,,,,,,,
28-Nov-20,35,9,46,45,57,27,32,8,Merlin,2602,,,,,,,
25-Nov-20,30,18,11,55,44,33,48,8,Merlin,2601,,,,,,,
